variant,ratio_nat,neg_weight,unsafe_weight,seed,train_rows,threshold,cal_activations,cal_tp,cal_unsafe,cal_net_saved
A,0.67,5.0,20.0,137,874,0.08,54,10,0,147.2
A,0.67,5.0,20.0,271,874,0.05,74,12,0,154.2
A,0.67,5.0,20.0,512,874,0.05,81,12,0,149.3
A,0.67,5.0,20.0,1337,874,0.08,54,10,0,147.2
A,0.67,5.0,20.0,2027,874,0.08,57,11,0,154.1
A,0.67,5.0,20.0,4099,874,0.05,81,12,0,149.3
A,0.67,5.0,20.0,8191,874,0.05,92,12,0,141.6
A,0.67,5.0,20.0,16381,874,0.08,61,11,0,152.3
A,0.67,5.0,20.0,65537,874,0.05,79,12,0,150.7
A,0.67,5.0,50.0,42,874,0.05,76,12,0,152.8
A,0.67,5.0,50.0,137,874,0.08,57,10,0,145.1
A,0.67,5.0,50.0,271,874,0.08,60,10,0,142.0
A,0.67,5.0,50.0,512,874,0.05,89,12,0,143.7
A,0.67,5.0,50.0,1337,874,0.08,55,10,0,146.5
A,0.67,5.0,50.0,2027,874,0.08,59,11,0,152.7
A,0.67,5.0,50.0,4099,874,0.05,82,12,0,148.6
A,0.67,5.0,50.0,8191,874,0.05,96,12,0,138.8
A,0.67,5.0,50.0,16381,874,0.08,63,11,0,150.9
A,0.67,5.0,50.0,65537,874,0.05,81,12,0,149.3
A,0.67,5.0,100.0,42,874,0.05,77,12,0,152.1
A,0.67,5.0,100.0,137,874,0.05,85,11,0,135.5
A,0.67,5.0,100.0,271,874,0.08,70,10,0,135.0
A,0.67,5.0,100.0,512,874,0.05,99,12,0,136.7
A,0.67,5.0,100.0,1337,874,0.08,60,11,0,153.0
A,0.67,5.0,100.0,2027,874,0.08,65,11,0,148.5
A,0.67,5.0,100.0,4099,874,0.05,86,12,0,145.8
A,0.67,5.0,100.0,8191,874,0.08,85,11,0,135.5
A,0.67,5.0,100.0,16381,874,0.05,84,12,0,147.2
A,0.67,5.0,100.0,65537,874,0.1,56,10,0,144.8
